,Conditions,Date,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill
151,Partly Cloudy,"Jan. 05, 2017",7.0 °F,,19.6 mph,,40%,,29.96 in,28.9 °F,,11:51 AM,10.0 mi,WSW,8.1 mph,21.1 °F
152,Clear,"Jan. 05, 2017",8.1 °F,,-,,38%,,29.93 in,30.9 °F,,12:51 PM,10.0 mi,WNW,9.2 mph,22.8 °F
153,Clear,"Jan. 05, 2017",8.1 °F,,-,,38%,,29.93 in,30.9 °F,,1:51 PM,10.0 mi,West,9.2 mph,22.8 °F
154,Clear,"Jan. 05, 2017",9.0 °F,,-,,38%,,29.92 in,32.0 °F,,2:51 PM,10.0 mi,Calm,Calm,-
155,Clear,"Jan. 05, 2017",9.0 °F,,-,,38%,,29.93 in,32.0 °F,,3:51 PM,10.0 mi,Calm,Calm,-
156,Clear,"Jan. 05, 2017",9.0 °F,,-,,38%,,29.92 in,32.0 °F,,4:51 PM,10.0 mi,West,4.6 mph,27.5 °F
157,Scattered Clouds,"Jan. 05, 2017",10.0 °F,,17.3 mph,,42%,,29.95 in,30.9 °F,,5:51 PM,10.0 mi,Variable,6.9 mph,24.3 °F
158,Overcast,"Jan. 05, 2017",10.9 °F,,17.3 mph,,42%,,29.95 in,32.0 °F,,6:51 PM,10.0 mi,West,12.7 mph,22.5 °F
159,Mostly Cloudy,"Jan. 05, 2017",12.0 °F,,17.3 mph,,44%,,29.97 in,32.0 °F,,7:51 PM,10.0 mi,West,9.2 mph,24.2 °F
160,Overcast,"Jan. 05, 2017",12.0 °F,,-,,44%,,29.97 in,32.0 °F,,8:51 PM,10.0 mi,West,8.1 mph,24.8 °F
161,Overcast,"Jan. 05, 2017",12.0 °F,,17.3 mph,,44%,,29.96 in,32.0 °F,,9:51 PM,10.0 mi,WSW,5.8 mph,26.4 °F
162,Mostly Cloudy,"Jan. 05, 2017",14.0 °F,,-,,50%,,29.95 in,30.9 °F,,10:51 PM,10.0 mi,North,-,-
163,Overcast,"Jan. 05, 2017",15.1 °F,,-,,52%,,29.95 in,30.9 °F,,11:51 PM,10.0 mi,West,8.1 mph,23.5 °F
164,Light Snow,"Jan. 06, 2017",19.9 °F,Snow,-,,66%,0.00 in,29.98 in,30.0 °F,,12:29 AM,1.8 mi,WSW,8.1 mph,22.4 °F
